Чек-лист для аудита безопасности веб-приложений;;;
№ п/п;Приоритет;Проверка;Выполнено
1;;Аутентификация и парольная политика;
1.1;Высокий;Сложность паролей (min 12 знаков, спецсимволы, mixedCase);Частично
1.2;Высокий;Защита от перебора (RateLimiter/throttle на 5 попыток);Да
1.3;Высокий;Безопасное хеширование (Argon2id / Bcrypt cost 12+);Да
1.4;Средний;Двухфакторная аутентификация (TOTP/Google Authenticator);Нет
1.5;Высокий;Безопасный сброс пароля (Signed URLs, срок жизни 15-60 мин);Да
2;;Управление доступом на основе ролей;
2.1;Высокий;Принцип наименьших привилегий (Laravel Policies/Gates);Частично
2.2;Высокий;Защита от IDOR (проверка прав владения ресурсом в контроллере);Частично
2.3;Средний;Изоляция админ-панели (отдельный Middleware, фильтрация по IP);Да
2.4;Средний;Защита роутов на Frontend (React HOC/Auth Guards);Да
2.5;Высокий;Scoping токенов API (ограничение abilities для Sanctum);Частично
3;;Аудит и журналирование действий пользователей;
3.1;Средний;Логирование критических событий (входы, смены паролей, удаления);Да
3.2;Низкий;Целостность логов (ротация, внешнее хранилище ELK/Graylog);Нет
3.3;Высокий;Маскирование ПДн (исключение паролей/токенов из логов);Да
3.4;Средний;Мониторинг аномалий (алерты на всплеск 401/403 ошибок);Нет
3.5;Высокий;Audit Trail для админов (фиксация всех изменений прав/банов);Нет
4;;Настройки сеансов и подключений;
4.1;Высокий;Безопасные Cookies (Secure, HttpOnly, SameSite=Lax);Да
4.2;Средний;Тайм-аут сессии (разумный SESSION_LIFETIME и авто-логаут);Да
4.3;Высокий;HSTS и TLS (принудительный HTTPS, TLS 1.2+);Да
4.4;Высокий;Отзыв токенов (удаление токенов Sanctum при выходе);Да
4.5;Высокий;CSRF Защита (проверка заголовка X-XSRF-TOKEN);Да
5;;Защита на уровне конфигурации и ПО;
5.1;Высокий;Изоляция окружения (недоступность .env, права 755/644);Да
5.2;Средний;Сканирование зависимостей (composer/npm audit, Dependabot);Да
5.3;Критический;Отключение Debug Mode (APP_DEBUG=false в production);Да
5.4;Средний;Харденинг веб-сервера (server_tokens off, лимиты body);Да
5.5;Средний;Content Security Policy (запрет выполнения сторонних скриптов);Нет
6;;Резервное копирование и восстановление;
6.1;Высокий;Автоматизация бэкапов (ежедневный дамп БД и медиа);Нет
6.2;Высокий;Хранение вне сервера (S3 / Google Drive / Cloud);Нет
6.3;Средний;Проверка целостности (тестовое восстановление раз в месяц);Нет
6.4;Средний;Шифрование бэкапов (AES-256 перед отправкой в облако);Нет
6.5;Низкий;Политика удержания (ротация: 7 дней, 4 недели);Нет
7;;Защита от вредоносного кода и внешних угроз;
7.1;Высокий;Валидация загрузки файлов (MIME-типы, новые имена файлов);Да
7.2;Средний;Защита от DDoS (Cloudflare, API Rate Limits);Нет
7.3;Высокий;Защита от XSS (экранирование в React и Blade {{ }});Да
7.4;Высокий;Защита от SQL Injection (Eloquent / Query Builder);Да
7.5;Средний;WAF (Web Application Firewall для фильтрации атак);Нет
8;;Безопасность взаимодействия с другими системами;
8.1;Высокий;Менеджмент секретов (использование .env, отсутствие ключей в коде);Да
8.2;Средний;Безопасность Webhooks (проверка цифровой подписи запроса);Нет
8.3;Высокий;CORS Policy (белый список доменов, запрет '*');Да
8.4;Низкий;Фильтрация исходящего трафика (Egress Firewall);Нет
8.5;Средний;Обработка ошибок внешних API (try-catch, скрытие тех. деталей);Да
9;;Стандарты кодирования и защита от уязвимостей;
9.1;Средний;Статический анализ кода (PHPStan, ESLint Security);Частично
9.2;Высокий;Защита от Mass Assignment (использование $fillable в моделях);Да
9.3;Средний;Безопасная десериализация (отказ от unserialize, использование JSON);Да
9.4;Средний;Обработка исключений (кастомный Handler, скрытие системных путей);Да
9.5;Высокий;No-eval (запрет использования eval() в PHP и JS);Да
10;;Административный доступ и документирование;
10.1;Высокий;SSH по ключам (отключение входа по паролю на сервере);Да
10.2;Низкий;План реагирования (инструкция на случай взлома);Нет
10.3;Средний;Документация прав (матрица доступов и аудит админов);Частично
10.4;Средний;Регулярные Pentest-ы (использование OWASP ZAP);Нет
10.5;Средний;Отзыв доступа (процедура удаления доступов при увольнении);Нет
